url,license
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/i3lock.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/exrex.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/git-check-ignore.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/gemtopnm.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/git-var.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/docker-image-ls.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/jcal.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/aws-amplify.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/adb-disconnect.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/clj.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/airshare.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/adb-shell-pm-list-packages.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/cupsenable.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/echo.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/ddgr.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/hledger-ui.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/ibmcloud-regions.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/git-cherry.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/gdal2tiles.py.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/argocd.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/get-nodeinstalllocation.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/esbuild.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/done.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/frpc.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/gunicorn.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/apktool.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/hledger-web.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/charm.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/godoc.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/filecheck.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/elasticsearch-node.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/aws-ec2.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/git-for-each-repo.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/iproxy.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/git-alias.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/cargo-add.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/fvm.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/bun-pm-bin.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/git-cliff.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/adb-reverse.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/gt.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/brew-services.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/jello.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/adb-shell-pm-list.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/dnswalk.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/freeze.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/git-count.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/go-build.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/code.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/esac.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/bundletool-validate.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/git-hash-object.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/cs-complete-dep.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/dbx.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/ipcalc.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/dfc.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/aws-cloud9.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/chronyc.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/gpg2.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/dvc-add.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/gh-completion.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/gradle-properties.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/gh-pr-comment.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/espeak.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/gitwatch.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/jhat.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/git-show-ref.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/getst.py.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/ideviceimagemounter.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/java.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/base32.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/impacket-ticketconverter.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/gdmsetup.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/git-restore.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/bashmarks.md,MIT
https://raw.githubusercontent.com/tldr-pages/tldr/main/pages/common/git-am.md,MIT
